Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12211,2023-03-13,-0.019148721,-0.010995768,-0.014911273,21,100
Market-Adjusted Model,12219,2023-03-13,-0.06844217,-0.065961249,-0.064204722,21,100
Market-Adjusted Model,12226,2023-03-13,-0.094574714,-0.092794905,-0.090337266,21,100
Market-Adjusted Model,12266,2023-03-13,0.1081906111,0.1689999052,0.1124280592,21,100
Market-Adjusted Model,12287,2023-03-13,0.021388357,0.0251306673,0.0256258051,21,100
Market-Adjusted Model,12289,2023-03-13,0.021250666,0.0241941647,0.0254881141,21,100
Market-Adjusted Model,12292,2023-03-13,-0.035745589,-0.030768285,-0.031508141,21,100
Market-Adjusted Model,12294,2023-03-13,0.0270300002,0.0307541737,0.0312674483,21,100
Market-Adjusted Model,12295,2023-03-13,-0.021372152,-0.017216104,-0.017134704,21,100
Market-Adjusted Model,12296,2023-03-13,-0.091287202,-0.089595669,-0.087049753,21,100
Market-Adjusted Model,12297,2023-03-13,-0.058153334,-0.054256083,-0.053915885,21,100
Market-Adjusted Model,12301,2023-03-13,-0.074277799,-0.071412594,-0.070040351,21,100
Market-Adjusted Model,12302,2023-03-13,-0.088324719,-0.086660274,-0.08408727,21,100
Market-Adjusted Model,12303,2023-03-13,-0.042567461,-0.038310028,-0.038330013,21,100
Market-Adjusted Model,12304,2023-03-13,-0.065160983,-0.06184775,-0.060923535,21,100
Market-Adjusted Model,12305,2023-03-13,0.0038982147,0.0080109643,0.0081356628,21,100
Market-Adjusted Model,12307,2023-03-13,0.0866141826,0.1139444325,0.0908516307,21,100
Market-Adjusted Model,12308,2023-03-13,-0.070569125,-0.066945917,-0.066331677,21,100
Market-Adjusted Model,12310,2023-03-13,0.3142857694,0.308432048,0.3185232175,21,100
Market-Adjusted Model,12313,2023-03-13,-0.001884999,0.0023338912,0.0023524488,21,100
Market-Adjusted Model,12314,2023-03-13,0.0348622853,0.0385711909,0.0390997334,21,100
Market-Adjusted Model,12315,2023-03-13,-0.038733352,-0.035090239,-0.034495904,21,100
Market-Adjusted Model,12316,2023-03-13,-0.00676242,-0.002428124,-0.002524971,21,100
Market-Adjusted Model,12317,2023-03-13,-0.046935576,-0.042564234,-0.042698128,21,100
Market-Adjusted Model,12318,2023-03-13,-0.069595474,-0.066412098,-0.065358026,21,100
Market-Adjusted Model,12321,2023-03-13,-0.091275979,-0.089663635,-0.087038531,21,100
Market-Adjusted Model,12325,2023-03-13,0.1123090728,0.1226658801,0.1165465209,21,100
Market-Adjusted Model,12326,2023-03-13,0.0817336298,0.0837473396,0.0859710779,21,100
Market-Adjusted Model,12329,2023-03-13,-0.093099202,-0.089016961,-0.088861754,21,100
Market-Adjusted Model,12331,2023-03-13,-0.016826837,-0.013496152,-0.012589389,21,100
Market-Adjusted Model,12332,2023-03-13,0.0660035529,0.0803653597,0.070241001,21,100
Market-Adjusted Model,12333,2023-03-13,-0.107125975,-0.105678995,-0.102888526,21,100
Market-Adjusted Model,12334,2023-03-13,-0.012533543,-0.00831142,-0.008296095,21,100
Market-Adjusted Model,12338,2023-03-13,0.1176470798,0.1189648798,0.1218845278,21,100
Market-Adjusted Model,12339,2023-03-13,-0.165487986,-0.156474682,-0.161250538,21,100
Market-Adjusted Model,12341,2023-03-13,-0.037190016,-0.033604755,-0.032952568,21,100
Market-Adjusted Model,12345,2023-03-13,-0.083657379,-0.081056353,-0.07941993,21,100
Market-Adjusted Model,12350,2023-03-13,-0.567602576,-0.785019264,-0.563365128,21,100
Market-Adjusted Model,12355,2023-03-13,-0.067692254,-0.057450935,-0.063454806,21,100
Market-Adjusted Model,12358,2023-03-13,-0.568181842,-0.788724716,-0.563944394,21,100
Market-Adjusted Model,12360,2023-03-13,0.0627137022,0.0831316461,0.0669511503,21,100
Market-Adjusted Model,12363,2023-03-13,0.0512820035,0.0612468117,0.0555194516,21,100
Market-Adjusted Model,12366,2023-03-13,-0.041797285,-0.03805253,-0.037559837,21,100
Market-Adjusted Model,12367,2023-03-13,-0.145748741,-0.129466291,-0.141511293,21,100
Market-Adjusted Model,12368,2023-03-13,-0.146329885,-0.152076419,-0.142092437,21,100
Market-Adjusted Model,12369,2023-03-13,-0.118722955,-0.117071539,-0.114485507,21,100
Market-Adjusted Model,12370,2023-03-13,0.1302127441,0.1322790946,0.1344501922,21,100
Market-Adjusted Model,12372,2023-03-13,-0.099236642,-0.098475617,-0.094999194,21,100
Market-Adjusted Model,12373,2023-03-13,-0.079309514,-0.073108056,-0.075072066,21,100
Market-Adjusted Model,12376,2023-03-13,-0.032258094,-0.023475873,-0.028020646,21,100
Market-Adjusted Model,12377,2023-03-13,-0.064809912,-0.058357345,-0.060572464,21,100
Market-Adjusted Model,12380,2023-03-13,0.0574042889,0.0624191504,0.061641737,21,100
Market-Adjusted Model,12385,2023-03-13,-0.078977915,-0.073996452,-0.074740467,21,100
Market-Adjusted Model,12391,2023-03-13,-0.108212636,-0.108209554,-0.103975188,21,100
Market-Adjusted Model,12397,2023-03-13,-0.043478217,-0.032551438,-0.039240768,21,100
Market-Adjusted Model,12400,2023-03-13,-0.18804391,-0.186039397,-0.183806462,21,100
Market-Adjusted Model,12411,2023-03-13,0.1547169174,0.1523836365,0.1589543655,21,100
Market-Adjusted Model,12412,2023-03-13,-0.040835956,-0.038002462,-0.036598507,21,100
Market-Adjusted Model,12431,2023-03-13,0.0001954204,0.006760824,0.0044328685,21,100
Market-Adjusted Model,12437,2023-03-13,-0.00948934,-0.010370701,-0.010341402,2,100
Market-Adjusted Model,12442,2023-03-13,-0.287347405,-0.308774391,-0.283109957,21,100
Market-Adjusted Model,12443,2023-03-13,0.3424738927,0.3227812839,0.3467113408,21,100
Market-Adjusted Model,12447,2023-03-13,0.1214046487,0.1634127087,0.1256420968,21,100
Market-Adjusted Model,12448,2023-03-13,-0.885254076,-1.431517287,-0.881016628,21,100
